split,index,filename,pattern,label,sample_rate,channels,duration_s,format,bytes
train,0,carrier_en_human_00396.wav,carrier_en_human_#.wav,human,16000,1,1.008,WAV,32300
train,1,10612472-5679-4447-8569-b8e28cc54696.flac,#-#-#-#-b#e#cc#.flac,answering_machine,16000,1,5.6839375,FLAC,108890
train,2,voicemail_00353.wav,voicemail_#.wav,voicemail,16000,1,10.0,WAV,320044
train,3,60268c6edc3604f481bcb733.wav,#c#edc#f#bcb#.wav,human,8000,1,5.973375,WAV,47846
train,4,19d09230-e2cf-41ad-9792-6ab9bc181577.flac,#d#-e#cf-#ad-#-#ab#bc#.flac,voicemail,16000,1,4.82,FLAC,104361
train,5,1d7180e3-1250-409e-8f58-80bc3e032233.flac,#d#e#-#-#e-#f#-#bc#e#.flac,answering_machine,16000,1,12.546125,FLAC,255293
train,6,019c3e6f-80af-4272-9751-bc923c5aa9ee.flac,#c#e#f-#af-#-#-bc#c#aa#ee.flac,ivr,16000,1,6.56,FLAC,141531
train,7,carrier_en_answering_machine_00511.wav,carrier_en_answering_machine_#.wav,answering_machine,16000,1,8.9513125,WAV,286486
train,8,incomplete_e473d702-64e7-456b-a67d-505dd00ec391_normalized.flac,incomplete_e#d#-#e#-#b-a#d-#dd#ec#_normalized.flac,human,16000,1,3.388125,FLAC,62854
train,9,am_00388.wav,am_#.wav,answering_machine,16000,1,8.1531875,WAV,260946
train,10,009e593b-f7be-48e8-91ef-84128b0fd6f1.flac,#e#b-f#be-#e#-#ef-#b#fd#f#.flac,ivr,16000,1,6.88,FLAC,142958
train,11,07d44c30-6b4f-47f2-8a92-31ad17eee610.flac,#d#c#-#b#f-#f#-#a#-#ad#eee#.flac,answering_machine,16000,1,11.185375,FLAC,211091
train,12,ivr_00169.wav,ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,13,14a971f3-807c-4a23-b793-1f6e83920b9c.flac,#a#f#-#c-#a#-b#-#f#e#b#c.flac,answering_machine,16000,1,2.41325,FLAC,41354
train,14,ivr_00156.wav,ivr_#.wav,ivr,16000,1,9.336,WAV,298796
train,15,am_00259.wav,am_#.wav,answering_machine,16000,1,10.0,WAV,320044
train,16,incomplete_9ef66fe3-a592-432c-b249-ceb392d5405d_normalized.flac,incomplete_#ef#fe#-a#-#c-b#-ceb#d#d_normalized.flac,human,16000,1,5.728,FLAC,111903
train,17,0291a592-6c7b-4a48-8847-774bf254d0f3.flac,#a#-#c#b-#a#-#-#bf#d#f#.flac,voicemail,16000,1,10.504125,FLAC,176397
train,18,0282b6bf-537b-4efa-9709-7b35fdd2054a.flac,#b#bf-#b-#efa-#-#b#fdd#a.flac,ivr,16000,1,5.04,FLAC,108314
train,19,0d5a9b78-fc76-4bc2-88b3-580fcd5485b3.flac,#d#a#b#-fc#-#bc#-#b#-#fcd#b#.flac,answering_machine,16000,1,3.6419375,FLAC,54656
train,20,001087dd-b3e9-4968-8558-4776f84d7c33.flac,#dd-b#e#-#-#-#f#d#c#.flac,ivr,16000,1,17.24,FLAC,405354
train,21,60266521dc3604f481bcb4cb.wav,#dc#f#bcb#cb.wav,human,8000,1,4.437375,WAV,35558
train,22,06900dff-d3e6-4add-ae22-46f10d4b18bd.flac,#dff-d#e#-#add-ae#-#f#d#b#bd.flac,voicemail,16000,1,13.371875,FLAC,251553
train,23,0230bed5-d617-48e5-bd68-4fb43543bb3a.flac,#bed#-d#-#e#-bd#-#fb#bb#a.flac,ivr,16000,1,15.64,FLAC,315508
train,24,es_human_real_00250.wav,es_human_real_#.wav,human,16000,1,10.0,WAV,320044
train,25,carrier_en_human_00393.wav,carrier_en_human_#.wav,human,16000,1,1.008,WAV,32300
train,26,1d61be43-39f3-473a-959e-09a56628b68b.flac,#d#be#-#f#-#a-#e-#a#b#b.flac,answering_machine,16000,1,3.96725,FLAC,72518
train,27,carrier_fr_ivr_00101.wav,carrier_fr_ivr_#.wav,ivr,16000,1,10.0,WAV,320044
train,28,ivr_00010.wav,ivr_#.wav,ivr,16000,1,9.264,WAV,296492
train,29,06d0e64f-5c19-4b00-8a9a-83f426aa713b.flac,#d#e#f-#c#-#b#-#a#a-#f#aa#b.flac,answering_machine,16000,1,3.413375,FLAC,69716
train,30,0df58ab7-9ad0-4cfb-9c85-9bb03e3b213c.flac,#df#ab#-#ad#-#cfb-#c#-#bb#e#b#c.flac,voicemail,16000,1,4.2264375,FLAC,77922
train,31,incomplete_bda833f3-88a9-4e02-a423-b84a77a8bb61_normalized.flac,incomplete_bda#f#-#a#-#e#-a#-b#a#a#bb#_normalized.flac,human,16000,1,3.49125,FLAC,67969
train,32,incomplete_77c31378-5790-4496-b344-a81604a5d9ce_normalized.flac,incomplete_#c#-#-#-b#-a#a#d#ce_normalized.flac,human,16000,1,5.03125,FLAC,102264
train,33,60268e5ec7abb7f832138af1.wav,#e#ec#abb#f#af#.wav,human,8000,1,11.690625,WAV,93584
train,34,0092bf98-0605-4ee3-a6d4-9a0200613466.flac,#bf#-#-#ee#-a#d#-#a#.flac,voicemail,16000,1,11.217125,FLAC,204056
train,35,60268c1ec7abb7f83213895e.wav,#c#ec#abb#f#e.wav,human,8000,1,6.03725,WAV,48356
train,36,60268eebc7abb7f832138b63.wav,#eebc#abb#f#b#.wav,human,8000,1,6.485375,WAV,51942
train,37,0125fee5-bf67-435b-806f-ccb7de538a65.flac,#fee#-bf#-#b-#f-ccb#de#a#.flac,ivr,16000,1,12.28,FLAC,244305
train,38,00bf498a-74ba-44cd-9b1b-5b33e418b1bd.flac,#bf#a-#ba-#cd-#b#b-#b#e#b#bd.flac,ivr,16000,1,6.76,FLAC,129364
